time (s)	det(V)
8375.849699	-0.046767	
8375.851701	-0.051894	
8375.853700	-0.042878	
8375.857701	-0.062405	
8375.859701	-0.052905	
8375.861700	-0.067713	
8375.863700	-0.050254	
8375.865701	-0.038113	
8375.869699	-0.046733	
8375.871699	-0.051337	
8375.875701	-0.060686	
8375.877701	-0.055780	
8375.879700	-0.046589	
8375.881700	-0.037177	
8375.883700	-0.035343	
8375.887699	-0.029920	
8375.889701	-0.056206	
8375.891699	-0.053136	
8375.895701	-0.056188	
8375.897700	-0.030111	
8375.899701	-0.029627	
8375.901700	-0.032302	
8375.903701	-0.022972	
8375.905701	-0.039622	
8375.909700	-0.052883	
8375.913701	-0.057703	
8375.915702	-0.023932	
8375.917701	-0.029740	
8375.919700	-0.020023	
8375.921701	-0.029160	
8375.925699	-0.039037	
8375.927699	-0.050133	
8375.929700	-0.043834	
8375.931700	-0.028626	
8375.933702	-0.023661	
8375.935702	-0.019288	
8375.937701	-0.017321	
8375.939700	-0.034075	
8375.941701	-0.031566	
8375.945699	-0.035842	
8375.947701	-0.025321	
8375.949701	-0.024442	
8375.951701	-0.023474	
8375.953701	-0.005600	
8375.955701	-0.023722	
8375.957701	-0.031339	
8375.959700	-0.024515	
8375.961700	-0.037108	
8375.965699	-0.019976	
8375.969699	-0.023014	
8375.971701	-0.015136	
8375.973701	-0.025883	
8375.975701	-0.016724	
8375.977701	-0.024270	
8375.979701	-0.023442	
8375.983699	-0.004313	
8375.985701	-0.008839	
8375.987701	-0.004474	
8375.991701	-0.024485	
8375.993701	-0.015785	
8375.995701	-0.019876	
8375.997701	0.001431	
8375.999700	0.001095	
8376.003699	0.003101	
8376.005701	-0.012438	
8376.009701	-0.018106	
8376.011701	-0.017318	
8376.013701	0.001193	
8376.015701	0.010457	
8376.017701	0.005129	
8376.021699	0.018829	
8376.023700	-0.008035	
8376.025699	-0.001787	
8376.029701	-0.009505	
8376.031703	0.019648	
8376.033700	0.017034	
8376.035702	0.022176	
8376.037701	0.027257	
8376.039701	0.010226	
8376.043700	0.003427	
8376.047702	-0.001630	
8376.049700	0.028835	
8376.051701	0.028982	
8376.053701	0.043234	
8376.055700	0.027330	
8376.059699	0.016900	
8376.061700	0.005410	
8376.063701	0.024873	
8376.065701	0.035154	
8376.067701	0.035250	
8376.069701	0.049174	
8376.071701	0.042892	
8376.073708	0.031219	
8376.075700	0.038024	
8376.079699	0.030076	
8376.081700	0.046531	
8376.083699	0.045092	
8376.085700	0.055081	
8376.087701	0.065169	
8376.089701	0.047464	
8376.091700	0.048993	
8376.093700	0.045894	
8376.095701	0.045341	
8376.097701	0.063744	
8376.101702	0.065542	
8376.105701	0.076565	
8376.107701	0.063981	
8376.109701	0.071786	
8376.111700	0.059042	
8376.113701	0.078246	
8376.117700	0.089893	
8376.119700	0.091375	
8376.121701	0.082253	
8376.125701	0.075616	
8376.127700	0.083429	
8376.129701	0.086962	
